# Rime user dictionary
#@/db_name	sbpy.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10
#@/user_id	main
beiuee 	钡	c=818357347 d=8.18357 t=10
beiuia 	卑	c=818378730 d=8.18379 t=10
beiuia 	鹎	c=818357176 d=8.18357 t=10
beiuio 	倍	c=818395158 d=8.18395 t=10
benaae 	绷	c=818366751 d=8.18367 t=10
benaoe 	畚	c=818357293 d=8.18357 t=10
beneie 	甏	c=818357187 d=8.18357 t=10
beneie 	贲	c=818358369 d=8.18358 t=10
beneii 	苯	c=818357907 d=8.18358 t=10
beneiu 	本	c=819262071 d=8.19262 t=10
beneui 	泵	c=818358775 d=8.18359 t=10
beneui 	甭	c=818359425 d=8.18359 t=10
beneuo 	夯	c=818357209 d=8.18357 t=10
beneuo 	奔	c=818456550 d=8.18457 t=10
beniae 	嘣	c=818357409 d=8.18357 t=10
beniae 	蚌	c=818358787 d=8.18359 t=10
beniae 	蹦	c=818363840 d=8.18364 t=10
beniai 	崩	c=818370751 d=8.18371 t=10
benoue 	迸	c=818365387 d=8.18365 t=10
benuee 	锛	c=818357182 d=8.18357 t=10
benueo 	笨	c=818381927 d=8.18382 t=10
benuoa 	坌	c=818357205 d=8.18357 t=10
biaaae 	缏	c=818357174 d=8.18357 t=10
biaaae 	编	c=818433789 d=8.18434 t=10
biaaae 	骠	c=818358166 d=8.18358 t=10
biaaoe 	弁	c=818357910 d=8.18358 t=10
biaaue 	婊	c=818359210 d=8.18359 t=10
biaauo 	边	c=818817681 d=8.18818 t=10
biaeae 	弼	c=818360132 d=8.1836 t=10
biaeei 	表	c=818909860 d=8.1891 t=10
biaeie 	髟	c=818357206 d=8.18357 t=10
biaeii 	苄	c=818357184 d=8.18357 t=10
biaeii 	鞭	c=818392970 d=8.18393 t=10
biaeiu 	标	c=818543117 d=8.18543 t=10
biaeoa 	匾	c=818360278 d=8.1836 t=10
biaeui 	壁	c=818423809 d=8.18424 t=10
biaeui 	嬖	c=818357318 d=8.18357 t=10
biaeui 	璧	c=818364540 d=8.18365 t=10
biaeui 	砭	c=818357620 d=8.18358 t=10
biaeui 	碥	c=818357170 d=8.18357 t=10
biaeui 	臂	c=818400157 d=8.184 t=10
biaeui 	襞	c=818357218 d=8.18357 t=10
biaeui 	辟	c=818367166 d=8.18367 t=10
biaeui 	避	c=818453190 d=8.18453 t=10
biaeuo 	飙	c=818359892 d=8.1836 t=10
biaiae 	蝙	c=818360983 d=8.18361 t=10
biaiau 	贬	c=818363411 d=8.18363 t=10
biaiea 	彪	c=818364632 d=8.18365 t=10
biaiea 	陛	c=818364926 d=8.18365 t=10
biaoae 	扁	c=818367566 d=8.18368 t=10
biaoae 	遍	c=818426678 d=8.18427 t=10
biaoai 	裱	c=818357885 d=8.18358 t=10
biaoai 	褊	c=818357326 d=8.18357 t=10
biaoei 	卞	c=818359773 d=8.1836 t=10
biaoei 	变	c=818766011 d=8.18766 t=10
biaoeo 	辨	c=818377660 d=8.18378 t=10
biaoeo 	辩	c=818383037 d=8.18383 t=10
biaoeo 	辫	c=818362572 d=8.18363 t=10
biaooa 	窆	c=818357202 d=8.18357 t=10
biaooe 	汴	c=818358371 d=8.18358 t=10
biaooi 	忭	c=818357243 d=8.18357 t=10
biaouu 	煸	c=818357183 d=8.18357 t=10
biauae 	膘	c=818358463 d=8.18358 t=10
biauai 	鳊	c=818357183 d=8.18357 t=10
biauai 	鳔	c=818357195 d=8.18357 t=10
biauau 	飑	c=818357172 d=8.18357 t=10
biauee 	妣	c=818357371 d=8.18357 t=10
biauee 	镖	c=818392702 d=8.18393 t=10
biauee 	镳	c=818358081 d=8.18358 t=10
biaueo 	笾	c=818357292 d=8.18357 t=10
biaueu 	婢	c=818378631 d=8.18379 t=10
biauie 	便	c=818995166 d=8.18995 t=10
bieaua 	比	c=818848834 d=8.18849 t=10
bieaua 	毕	c=818443281 d=8.18443 t=10
bieaua 	毖	c=818357260 d=8.18357 t=10
bieaua 	毙	c=818369596 d=8.1837 t=10
bieeie 	碧	c=818393816 d=8.18394 t=10
bieiae 	别	c=818936842 d=8.18937 t=10
bieiae 	逼	c=818423280 d=8.18423 t=10
bieiei 	贲	c=818357169 d=8.18357 t=10
bieiia 	薜	c=818357346 d=8.18357 t=10
bieiie 	荜	c=818357356 d=8.18357 t=10
bieiie 	荸	c=818357224 d=8.18357 t=10
bieiio 	蔽	c=818367807 d=8.18368 t=10
bieiiu 	萆	c=818357278 d=8.18357 t=10
bieiiu 	蓖	c=818357348 d=8.18357 t=10
bieoeu 	瘪	c=818360036 d=8.1836 t=10
bieoui 	憋	c=818362024 d=8.18362 t=10
bieoui 	蹩	c=818358851 d=8.18359 t=10
bieoui 	鳖	c=818359125 d=8.18359 t=10
biiaao 	髀	c=818357341 d=8.18357 t=10
biiaee 	吡	c=818357216 d=8.18357 t=10
biiaee 	哔	c=818357716 d=8.18358 t=10
biiaee 	鄙	c=818371677 d=8.18372 t=10
biiaei 	畀	c=818357252 d=8.18357 t=10
biiaei 	跸	c=818357290 d=8.18357 t=10
binaae 	缤	c=818360329 d=8.1836 t=10
binaeu 	屏	c=818362104 d=8.18362 t=10
bineia 	丙	c=818364017 d=8.18364 t=10
bineia 	邴	c=818357289 d=8.18357 t=10
bineie 	摈	c=818358130 d=8.18358 t=10
bineie 	摒	c=818359237 d=8.18359 t=10
bineie 	鬓	c=818363554 d=8.18364 t=10
bineiu 	彬	c=818367199 d=8.18367 t=10
bineiu 	柄	c=818391306 d=8.18391 t=10
bineiu 	槟	c=818359723 d=8.1836 t=10
bineua 	殡	c=818359685 d=8.1836 t=10
bineua 	豳	c=818357222 d=8.18357 t=10
biniaa 	髌	c=818357190 d=8.18357 t=10
binoei 	冰	c=818466129 d=8.18466 t=10
binoei 	禀	c=818372535 d=8.18373 t=10
binoeu 	斌	c=818370366 d=8.1837 t=10
binoeu 	疒	c=818357189 d=8.18357 t=10
binoeu 	病	c=818518414 d=8.18518 t=10
binooa 	宾	c=818400199 d=8.184 t=10
binooe 	滨	c=818372118 d=8.18372 t=10
binooe 	濒	c=818360466 d=8.1836 t=10
binoue 	并	c=818922521 d=8.18923 t=10
binouu 	炳	c=818361673 d=8.18362 t=10
binuaa 	饼	c=818368668 d=8.18369 t=10
binuae 	膑	c=818357714 d=8.18358 t=10
binuea 	秉	c=818362844 d=8.18363 t=10
binuee 	镔	c=818357478 d=8.18357 t=10
binuie 	兵	c=818531018 d=8.18531 t=10
binuio 	傧	c=818357515 d=8.18358 t=10
bioaiu 	裨	c=818357768 d=8.18358 t=10
bioaou 	必	c=818776255 d=8.18776 t=10
bioeue 	庇	c=818362151 d=8.18362 t=10
bioeuo 	痹	c=818359452 d=8.18359 t=10
bioeuu 	庳	c=818357202 d=8.18357 t=10
bioiae 	闭	c=818432416 d=8.18432 t=10
biooeo 	泌	c=818359866 d=8.1836 t=10
